 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in  H- C (gas).txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   9.231E+00  1.248E+00    1.65 mm    99.80 um   116.21 um  
   4.00 MeV   9.796E+00  1.193E+00    1.75 mm   102.76 um   120.64 um  
   4.50 MeV   1.107E+01  1.097E+00    1.92 mm   109.09 um   128.50 um  
   5.00 MeV   1.250E+01  1.016E+00    2.08 mm   114.06 um   135.17 um  
   5.50 MeV   1.405E+01  9.482E-01    2.22 mm   118.01 um   140.79 um  
   6.00 MeV   1.570E+01  8.895E-01    2.34 mm   121.17 um   145.56 um  
   6.50 MeV   1.741E+01  8.384E-01    2.46 mm   123.73 um   149.62 um  
   7.00 MeV   1.917E+01  7.934E-01    2.56 mm   125.84 um   153.09 um  
   8.00 MeV   2.273E+01  7.177E-01    2.75 mm   130.37 um   158.68 um  
   9.00 MeV   2.624E+01  6.564E-01    2.91 mm   133.65 um   162.96 um  
  10.00 MeV   2.962E+01  6.057E-01    3.05 mm   136.14 um   166.34 um  
  11.00 MeV   3.280E+01  5.628E-01    3.17 mm   138.10 um   169.08 um  
  12.00 MeV   3.576E+01  5.262E-01    3.29 mm   139.70 um   171.35 um  
  13.00 MeV   3.847E+01  4.944E-01    3.39 mm   141.04 um   173.26 um  
  14.00 MeV   4.095E+01  4.666E-01    3.49 mm   142.19 um   174.91 um  
  15.00 MeV   4.319E+01  4.420E-01    3.59 mm   143.20 um   176.36 um  
  16.00 MeV   4.521E+01  4.201E-01    3.68 mm   144.09 um   177.63 um  
  17.00 MeV   4.703E+01  4.005E-01    3.77 mm   144.90 um   178.77 um  
  18.00 MeV   4.866E+01  3.827E-01    3.85 mm   145.64 um   179.80 um  
  20.00 MeV   5.143E+01  3.519E-01    4.01 mm   147.82 um   181.60 um  
  22.50 MeV   5.413E+01  3.202E-01    4.20 mm   150.67 um   183.49 um  
  25.00 MeV   5.616E+01  2.942E-01    4.38 mm   153.21 um   185.09 um  
  27.50 MeV   5.768E+01  2.724E-01    4.55 mm   155.53 um   186.48 um  
  30.00 MeV   5.883E+01  2.538E-01    4.73 mm   157.70 um   187.72 um  
  32.50 MeV   5.970E+01  2.377E-01    4.89 mm   159.74 um   188.83 um  
  35.00 MeV   6.034E+01  2.238E-01    5.06 mm   161.70 um   189.85 um  
  37.50 MeV   6.081E+01  2.115E-01    5.23 mm   163.58 um   190.80 um  
  40.00 MeV   6.115E+01  2.005E-01    5.39 mm   165.41 um   191.68 um  
  45.00 MeV   6.152E+01  1.820E-01    5.72 mm   172.08 um   193.28 um  
  50.00 MeV   6.160E+01  1.667E-01    6.04 mm   178.42 um   194.73 um  
  55.00 MeV   6.147E+01  1.540E-01    6.37 mm   184.53 um   196.07 um  
  60.00 MeV   6.120E+01  1.433E-01    6.70 mm   190.47 um   197.32 um  
  65.00 MeV   6.083E+01  1.340E-01    7.03 mm   196.28 um   198.49 um  
  70.00 MeV   6.037E+01  1.259E-01    7.36 mm   201.99 um   199.62 um  
  80.00 MeV   5.933E+01  1.125E-01    8.03 mm   223.50 um   201.74 um  
  90.00 MeV   5.818E+01  1.019E-01    8.71 mm   243.80 um   203.75 um  
 100.00 MeV   5.700E+01  9.318E-02    9.41 mm   263.27 um   205.69 um  
 110.00 MeV   5.582E+01  8.593E-02   10.12 mm   282.12 um   207.58 um  
 120.00 MeV   5.466E+01  7.980E-02   10.85 mm   300.51 um   209.44 um  
 130.00 MeV   5.377E+01  7.453E-02   11.59 mm   318.47 um   211.27 um  
 140.00 MeV   5.248E+01  6.995E-02   12.34 mm   336.16 um   213.11 um  
 150.00 MeV   5.134E+01  6.594E-02   13.12 mm   353.73 um   214.95 um  
 160.00 MeV   5.051E+01  6.239E-02   13.91 mm   371.11 um   216.80 um  
 170.00 MeV   4.970E+01  5.922E-02   14.71 mm   388.24 um   218.66 um  
 180.00 MeV   4.893E+01  5.638E-02   15.52 mm   405.17 um   220.53 um  
 200.00 MeV   4.747E+01  5.148E-02   17.19 mm   469.14 um   224.33 um  
 225.00 MeV   4.581E+01  4.650E-02   19.35 mm   559.77 um   229.20 um  
 250.00 MeV   4.428E+01  4.244E-02   21.58 mm   642.91 um   234.23 um  
