 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 28, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.4870E-03 g/cm3 = 3.6075E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.023E+01  2.251E-01    2.44 mm    84.73 um    92.48 um  
  11.00 MeV   3.194E+01  2.086E-01    2.57 mm    87.01 um    94.04 um  
  12.00 MeV   3.343E+01  1.944E-01    2.69 mm    89.02 um    95.41 um  
  13.00 MeV   3.473E+01  1.823E-01    2.81 mm    90.81 um    96.63 um  
  14.00 MeV   3.586E+01  1.716E-01    2.92 mm    92.45 um    97.73 um  
  15.00 MeV   3.684E+01  1.622E-01    3.03 mm    93.96 um    98.74 um  
  16.00 MeV   3.767E+01  1.539E-01    3.14 mm    95.37 um    99.66 um  
  17.00 MeV   3.838E+01  1.465E-01    3.24 mm    96.70 um   100.52 um  
  18.00 MeV   3.898E+01  1.398E-01    3.35 mm    97.97 um   101.32 um  
  20.00 MeV   3.991E+01  1.281E-01    3.55 mm   102.37 um   102.79 um  
  22.50 MeV   4.067E+01  1.163E-01    3.80 mm   108.54 um   104.43 um  
  25.00 MeV   4.110E+01  1.065E-01    4.04 mm   114.19 um   105.90 um  
  27.50 MeV   4.130E+01  9.839E-02    4.29 mm   119.49 um   107.26 um  
  30.00 MeV   4.132E+01  9.149E-02    4.53 mm   124.53 um   108.53 um  
  32.50 MeV   4.122E+01  8.556E-02    4.77 mm   129.37 um   109.73 um  
  35.00 MeV   4.101E+01  8.040E-02    5.02 mm   134.07 um   110.87 um  
  37.50 MeV   4.074E+01  7.586E-02    5.26 mm   138.65 um   111.97 um  
  40.00 MeV   4.040E+01  7.185E-02    5.51 mm   143.15 um   113.03 um  
  45.00 MeV   3.962E+01  6.504E-02    6.01 mm   160.04 um   115.08 um  
  50.00 MeV   3.874E+01  5.948E-02    6.52 mm   175.93 um   117.06 um  
  55.00 MeV   3.781E+01  5.484E-02    7.05 mm   191.15 um   118.99 um  
  60.00 MeV   3.687E+01  5.092E-02    7.58 mm   205.94 um   120.91 um  
  65.00 MeV   3.595E+01  4.756E-02    8.14 mm   220.41 um   122.81 um  
  70.00 MeV   3.504E+01  4.463E-02    8.70 mm   234.68 um   124.73 um  
  80.00 MeV   3.334E+01  3.980E-02    9.88 mm   287.91 um   128.60 um  
  90.00 MeV   3.177E+01  3.596E-02   11.11 mm   337.00 um   132.58 um  
 100.00 MeV   3.049E+01  3.284E-02   12.40 mm   383.55 um   136.70 um  
 110.00 MeV   2.900E+01  3.024E-02   13.75 mm   428.80 um   140.97 um  
 120.00 MeV   2.794E+01  2.804E-02   15.17 mm   473.26 um   145.43 um  
 130.00 MeV   2.700E+01  2.616E-02   16.63 mm   516.78 um   150.06 um  
 140.00 MeV   2.614E+01  2.453E-02   18.14 mm   559.56 um   154.86 um  
 150.00 MeV   2.536E+01  2.310E-02   19.70 mm   601.77 um   159.83 um  
 160.00 MeV   2.464E+01  2.183E-02   21.31 mm   643.53 um   164.96 um  
 170.00 MeV   2.398E+01  2.071E-02   22.96 mm   684.92 um   170.26 um  
 180.00 MeV   2.337E+01  1.970E-02   24.66 mm   726.01 um   175.73 um  
 200.00 MeV   2.228E+01  1.796E-02   28.18 mm   880.95 um   187.13 um  
 225.00 MeV   2.110E+01  1.620E-02   32.81 mm     1.10 mm   202.22 um  
 250.00 MeV   2.008E+01  1.477E-02   37.70 mm     1.30 mm   218.18 um  
 275.00 MeV   1.918E+01  1.358E-02   42.82 mm     1.49 mm   234.96 um  
 300.00 MeV   1.837E+01  1.258E-02   48.17 mm     1.67 mm   252.51 um  
 325.00 MeV   1.764E+01  1.172E-02   53.75 mm     1.85 mm   270.79 um  
 350.00 MeV   1.697E+01  1.098E-02   59.56 mm     2.02 mm   289.78 um  
 375.00 MeV   1.636E+01  1.033E-02   65.59 mm     2.19 mm   309.44 um  
 400.00 MeV   1.579E+01  9.754E-03   71.84 mm     2.37 mm   329.76 um  
 450.00 MeV   1.475E+01  8.786E-03   85.02 mm     3.01 mm   372.38 um  
 500.00 MeV   1.383E+01  8.001E-03   99.09 mm     3.61 mm   417.56 um  
 550.00 MeV   1.302E+01  7.351E-03  114.07 mm     4.19 mm   465.31 um  
 600.00 MeV   1.228E+01  6.803E-03  129.97 mm     4.76 mm   515.63 um  
 650.00 MeV   1.161E+01  6.334E-03  146.80 mm     5.32 mm   568.56 um  
 700.00 MeV   1.101E+01  5.929E-03  164.58 mm     5.88 mm   624.12 um  
 800.00 MeV   9.971E+00  5.262E-03  202.95 mm     8.01 mm   743.29 um  
 900.00 MeV   9.113E+00  4.735E-03  245.13 mm     9.99 mm   873.22 um  
   1.00 GeV   8.407E+00  4.308E-03  291.07 mm    11.92 mm     1.01 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.4869E-02                 eV / Angstrom 
  2.4869E-01                keV / micron   
  2.4869E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  5.9848E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
