 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 31, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Argon in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  2.4860E-03 g/cm3 = 3.6060E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  32.50 MeV   4.075E+01  7.586E-02    4.57 mm   124.52 um   103.78 um  
  35.00 MeV   4.037E+01  7.127E-02    4.81 mm   129.52 um   104.92 um  
  37.50 MeV   3.993E+01  6.723E-02    5.06 mm   134.42 um   106.03 um  
  40.00 MeV   3.945E+01  6.366E-02    5.32 mm   139.26 um   107.11 um  
  45.00 MeV   3.841E+01  5.760E-02    5.83 mm   157.49 um   109.21 um  
  50.00 MeV   3.734E+01  5.266E-02    6.36 mm   174.69 um   111.27 um  
  55.00 MeV   3.627E+01  4.855E-02    6.91 mm   191.21 um   113.31 um  
  60.00 MeV   3.522E+01  4.507E-02    7.47 mm   207.30 um   115.36 um  
  65.00 MeV   3.421E+01  4.208E-02    8.05 mm   223.08 um   117.42 um  
  70.00 MeV   3.325E+01  3.949E-02    8.64 mm   238.66 um   119.50 um  
  80.00 MeV   3.148E+01  3.520E-02    9.89 mm   296.70 um   123.78 um  
  90.00 MeV   3.000E+01  3.180E-02   11.19 mm   349.97 um   128.22 um  
 100.00 MeV   2.844E+01  2.903E-02   12.57 mm   400.76 um   132.87 um  
 110.00 MeV   2.732E+01  2.672E-02   14.01 mm   449.96 um   137.74 um  
 120.00 MeV   2.631E+01  2.478E-02   15.51 mm   497.73 um   142.82 um  
 130.00 MeV   2.540E+01  2.311E-02   17.07 mm   544.45 um   148.10 um  
 140.00 MeV   2.457E+01  2.167E-02   18.68 mm   590.38 um   153.59 um  
 150.00 MeV   2.383E+01  2.040E-02   20.34 mm   635.70 um   159.28 um  
 160.00 MeV   2.314E+01  1.928E-02   22.05 mm   680.53 um   165.17 um  
 170.00 MeV   2.251E+01  1.828E-02   23.81 mm   724.96 um   171.25 um  
 180.00 MeV   2.193E+01  1.739E-02   25.62 mm   769.08 um   177.52 um  
 200.00 MeV   2.088E+01  1.586E-02   29.38 mm   935.36 um   190.60 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.4859E-02                 eV / Angstrom 
  2.4859E-01                keV / micron   
  2.4859E-01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  6.0591E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
